,MSE
0,13784.256021179228
1,23267.593622223776
2,15787.038723964026
3,10290.518740950614
4,13896.817178121963
5,663816.3849044782
6,9242.089766402956
7,11858.908939244111
8,12752.54632349582
9,13776.037066440398
10,13333.109138653383
11,663411.2639859574
12,16389.503951752427
13,17438.499119567285
14,13337.388968740286
15,7912.070814587196
16,9423.751059410743
17,14081.548216544043
18,13000.00353700816
19,9315.675885013876
