,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1957-04-01,472.025,475.392,2987.699,17485.0,4.099,476.12399999999997,1008.852,284.176,3.684,28.013,14.0,3.0,4.1,44.029999999999994,22461111.333333332,45.776666666666664,46.846666666666664
1957-07-01,479.49,482.723,3016.979,17578.0,3.997,483.487,1017.442,288.75,3.727,28.263,14.033,3.22,4.2,46.846666666666664,26725925.0,44.029999999999994,45.18333333333334
1957-10-01,474.864,477.398,2985.775,17317.0,3.388,478.25199999999995,1034.18,290.368,3.773,28.4,13.967,3.24,4.9,45.18333333333334,23427777.0,46.846666666666664,40.92333333333334
1958-01-01,467.54,470.17,2908.281,16805.0,1.079,468.619,1025.248,289.888,3.839,28.737,13.733,2.68,6.3,40.92333333333334,30851850.666666668,45.18333333333334,41.546666666666674
1958-04-01,471.978,474.672,2927.395,16850.0,0.471,472.449,1050.823,292.819,3.906,28.93,13.633,1.84,7.4,41.546666666666674,25314814.0,40.92333333333334,44.25666666666667
1958-07-01,485.841,488.446,2995.112,17166.0,0.856,486.697,1056.856,297.893,4.05,28.913,13.8,1.8,7.3,44.25666666666667,29811110.333333332,41.546666666666674,48.333333333333336
1958-10-01,499.555,502.14,3065.141,17486.0,-0.26,499.295,1078.163,301.823,4.171,28.943,13.8,2.3,6.4,48.333333333333336,37716666.0,44.25666666666667,53.00666666666667
1959-01-01,510.33,512.913,3123.978,17745.0,0.519,510.849,1067.197,309.449,4.247,28.993,13.933,2.64,5.8,53.00666666666667,45427777.333333336,48.333333333333336,55.43333333333334
1959-04-01,522.653,525.253,3194.429,18075.0,-0.768,521.885,1080.416,315.505,4.367,29.043,13.967,3.18,5.1,55.43333333333334,42862963.0,53.00666666666667,58.24666666666667
1959-07-01,525.034,527.864,3196.683,18011.0,1.211,526.245,1089.655,320.725,4.4,29.193,13.833,3.61,5.3,58.24666666666667,39092593.0,55.43333333333334,58.99666666666667
1959-10-01,528.6,531.63,3205.79,17983.0,0.627,529.227,1080.744,322.842,4.517,29.37,13.8,4.0,5.6,58.99666666666667,33231481.666666668,58.24666666666667,58.56333333333333
1960-01-01,542.648,545.575,3277.847,18279.0,2.858,545.506,1062.312,326.364,4.736,29.397,13.8,4.0,5.1,58.56333333333333,36674074.0,58.99666666666667,55.69
1960-04-01,541.08,544.084,3260.177,18072.0,3.395,544.475,1074.24,332.208,4.86,29.573,13.767,3.88,5.2,55.69,35209259.666666664,58.56333333333333,55.70666666666667
1960-07-01,545.604,548.768,3276.133,18070.0,4.682,550.2860000000001,1100.511,332.126,4.92,29.59,13.8,3.23,5.5,55.70666666666667,37512963.333333336,55.69,55.330000000000005
1960-10-01,540.197,543.553,3234.087,17768.0,5.88,546.077,1108.142,334.024,4.951,29.78,13.833,3.0,6.3,55.330000000000005,33338888.666666668,55.70666666666667,55.68000000000001
1961-01-01,545.018,548.594,3255.914,17828.0,5.902,550.9200000000001,1124.596,334.52,4.993,29.84,14.033,3.0,6.8,55.68000000000001,35872222.666666664,55.330000000000005,63.42666666666667
1961-04-01,555.545,558.945,3311.181,18061.0,4.727,560.2719999999999,1127.411,339.455,5.099,29.83,14.1,3.0,7.0,63.42666666666667,54961110.666666664,55.68000000000001,65.50333333333333
1961-07-01,567.664,571.166,3374.742,18331.0,4.453,572.117,1151.491,342.332,5.209,29.947,14.133,3.0,6.8,65.50333333333333,50331481.0,63.42666666666667,67.18666666666667
1961-10-01,580.612,584.209,3440.924,18610.0,4.572,585.184,1176.737,349.593,5.338,29.99,14.1,3.0,6.2,67.18666666666667,38175926.666666664,65.50333333333333,70.49666666666667
1962-01-01,594.013,597.614,3502.298,18875.0,4.01,598.023,1199.445,354.822,5.438,30.107,14.1,3.0,5.6,70.49666666666667,45024075.333333336,67.18666666666667,69.45
1962-04-01,600.366,604.358,3533.947,18979.0,4.777,605.143,1205.504,360.458,5.567,30.22,14.1,3.0,5.5,69.45,39881481.666666664,70.49666666666667,59.873333333333335
1962-07-01,609.027,613.078,3577.362,19138.0,4.482,613.509,1233.332,364.333,5.64,30.307,14.133,3.0,5.6,59.873333333333335,51190741.0,69.45,57.873333333333335
1962-10-01,612.28,617.01,3589.128,19124.0,3.133,615.413,1241.851,370.618,5.719,30.38,14.3,3.0,5.5,57.873333333333335,40268518.666666664,59.873333333333335,60.626666666666665
1963-01-01,621.672,626.179,3628.306,19269.0,3.976,625.648,1225.005,374.283,5.823,30.477,14.3,3.0,5.8,60.626666666666665,47329629.666666664,57.873333333333335,65.68666666666667
1963-04-01,629.752,634.089,3669.02,19422.0,5.558,635.31,1225.904,378.413,5.938,30.533,14.4,3.0,5.7,65.68666666666667,47379630.0,60.626666666666665,69.99
1963-07-01,644.444,648.882,3749.681,19774.0,4.511,648.9549999999999,1280.295,385.394,6.045,30.72,14.5,3.41,5.5,69.99,55914814.333333336,65.68666666666667,71.11
