,R^2,MSE train,MSE test
0,0.9960221331343192,2769.9262660427157,5601.987580274045
1,0.9950724252261224,3294.5011507826825,4527.3412774762755
2,0.995329156912662,3260.694419288116,3478.0713808186974
3,0.9954411322454381,3377.5066740514717,3109.400641962291
4,0.9946113317807479,3526.1012308792583,5141.723796925004
5,0.995933381044809,2808.1734829661277,5379.139909761051
6,0.995753465178315,2792.585551446629,5573.90662502343
7,0.9958684077986775,3068.0827116367186,4151.244770180802
8,0.9956707717419101,3000.33414345498,4737.181888459343
9,0.9955249516588459,3183.9836805287855,4549.014032981395
10,0.9961598771131971,2569.981172382985,6568.297211638268
11,0.9957182656235456,3335.552585484436,4164.284803813317
12,0.9949064663862756,3074.86999035393,7909.20491763248
13,0.9961507611497341,2447.6651982885605,7725.8698712167225
14,0.9955949493690696,3217.3613639050022,4517.046761948102
15,0.9959392539724423,2774.9041237433034,7855.5718137812355
16,0.996166509298943,2586.0023531727975,7280.45350686161
17,0.9956727417476386,3131.8515977830207,4471.8289876383415
18,0.9959038830989005,2976.5981844439293,4508.384936601875
19,0.9955264486919884,3519.1994218592436,2778.1641638295955
20,0.9962439970408288,2905.8743269613906,4836.655798414973
21,0.9956225098679912,3221.5686138094475,4308.950829797895
22,0.9962620671176285,2552.751045458424,6502.8664021029535
23,0.994758193713766,3589.528466104213,3053.1398430225963
24,0.9959393589154361,2907.9940868452104,5344.492566823605
25,0.9953849274916476,3091.284375181037,5153.217921960305
26,0.9963171560734886,2756.232906830858,6528.212979895389
27,0.9957723573345351,3040.1678075533787,5258.709246593406
28,0.9954091205535127,2789.1122123062196,8428.910410094992
29,0.9964092828942099,2233.2672585670834,7657.240433308663
30,0.9955877522769837,3300.6371482360796,3466.820961981806
31,0.996157680615643,2992.3792211740492,5102.8257441389105
32,0.995820375080812,2765.1214144615765,7456.357377976292
33,0.9957605302026895,2959.3589343519984,4730.618444886158
34,0.9957900223884499,3217.6845218887424,4158.551640983165
35,0.9956447603903328,3179.8872592893513,4080.4581056980123
36,0.9965255510570115,2571.8789298513666,7579.904161624573
37,0.9952757499964927,2920.3594667932825,8819.880405085734
38,0.9952610499458561,3016.221849340682,6081.262688279418
39,0.9963921552288253,2859.119486714234,5444.329053728176
40,0.9961501106874454,2766.356597305984,4999.374691237553
41,0.9956580576631654,2849.1745722993264,5277.099062099073
42,0.9956904907686741,2984.5831699111277,4944.968164372522
43,0.9950747605705251,3456.542813082595,3336.675458504657
44,0.9954192897955892,2858.8961404035695,5412.947003797374
45,0.9959511819572244,2887.094932740095,4895.4047896595
46,0.995478882510457,3135.9492429073994,5731.698612959103
47,0.9952036543474583,3437.6116097865565,2925.7609721263757
48,0.9956492356952487,3214.4773466950664,3808.8123736977495
49,0.9959109355705005,2822.077518840212,7241.770645516848
50,0.9954235949647149,3172.370298080775,11013.636145745308
51,0.995664402819543,3112.4285345760873,4121.714788711692
52,0.9959327984189676,2750.3991928443065,9006.221249154532
53,0.99578522611513,2807.7705207399795,5406.831364200774
54,0.9953904497255763,3476.3695862435084,2699.7155823122603
55,0.9958406874124909,2786.3249708310846,8979.069793900895
56,0.995517495598594,3112.708521500091,4205.946247409107
57,0.9955257818404327,2918.7119476866073,7367.560404611769
58,0.9955742100900508,2879.623864007997,5969.839969357757
59,0.9956415984829545,2652.389121666933,9332.935392203817
60,0.9948180170029636,3355.166206286611,5869.696000666648
61,0.9958202505448718,2768.8678649925014,7090.531046546495
62,0.9955185727683413,3493.2384496449454,2766.839952275923
63,0.9956838081255672,3019.443922141389,7293.422278816933
64,0.9957499455750911,3158.334080620989,4127.113123751059
65,0.9958509031981044,2939.2125897181827,6211.81985008669
66,0.9952586224891294,3178.830320023233,3918.9503207957923
67,0.9961597909289729,2551.127802853749,8581.865637702662
68,0.9959262232249748,2668.8548810459592,9631.19806648553
69,0.9960305554558515,2999.8820381961373,4319.635470942372
70,0.995889195505396,3035.212534904864,5094.107568237192
71,0.9956510659956965,2788.3422451888673,5638.023340573197
72,0.9954100528402905,2735.599546692828,18592.567571834075
73,0.9957838232764545,2977.613595836141,5077.727994422233
74,0.9956555876987183,2694.734088882523,7569.443028493137
75,0.9956468960627497,3059.2004108003957,5671.623902649114
76,0.995544292589329,3274.646947297343,3585.0833773155914
77,0.9954933746222688,3020.0218932618336,5690.972819112102
78,0.995217916548435,3001.6431696791587,5326.738330057344
79,0.9958526296455927,2569.037434831043,12258.976101378757
80,0.9952500088626112,3401.738524017639,3142.2976189430797
81,0.9955516986722868,3077.7286820199324,5383.5264824382675
82,0.9955538578677445,3095.0555814234463,5315.376850472679
83,0.9961877061343637,2652.5852625031002,6039.2915633251805
84,0.9955387017672187,3444.6716301926376,2804.3102281924043
85,0.9952032608613364,3107.3635982029564,5819.716779933791
86,0.9955991349063636,3019.4146714074395,4992.19919301777
87,0.9947054040486517,3301.7407843436804,3535.1487206709603
88,0.9956732770034928,3101.6618284697884,4361.867577577559
89,0.9952882115072106,3276.4532783431923,4450.654910684648
90,0.995462350502581,3193.3221655235016,4202.710006441517
91,0.9957807724240811,2678.4964158161483,16697.223613472645
92,0.9956158485914229,2705.4918420770487,7577.716003231027
93,0.995599155644469,3102.1919561869963,4413.427063287498
94,0.9956429867575957,3001.396168373415,6101.454960592928
95,0.9963041776904384,2683.4494421961663,8168.255916068622
96,0.9957375237389502,2816.537797731264,7049.066820452505
97,0.9951175271400033,3064.180403091022,6918.300323029487
98,0.9956515928606492,3059.5485107828895,4426.2164859468385
99,0.9951248810514345,3514.373220542697,2765.224951999701
100,0.9951797892176394,3288.230089243436,3873.8354715789596
101,0.9960726554861612,2878.877124045505,6553.051976753802
102,0.9955636202702726,3297.2084489494887,3713.5642092695894
103,0.9954801814337467,2772.931993720833,6835.664278175421
104,0.995433908220408,3365.258923966749,4167.971779684342
105,0.9950996938008154,2926.7020869915013,4713.850204361759
106,0.9960440884675362,2856.964751253276,5347.505475196402
107,0.9951028194894106,3307.0067499091524,3581.468660947226
108,0.9953515783034574,2917.689910450163,7302.797220420577
109,0.9966124441071885,2417.9478201885186,9472.298726597759
110,0.9950529589317968,3215.871380132985,3834.98682130386
111,0.9958764885753739,2802.0603644487073,6926.520419676909
112,0.9957269456411418,3175.3214707069365,5617.755625714713
113,0.995350931960254,2983.1402154052657,6374.42346450269
114,0.9956632409216721,3265.7299224729377,3682.706534861967
115,0.995150694295502,2901.118699001485,5347.68730369251
116,0.9958145873684334,2908.421680427739,6017.333463204363
117,0.9958908318723695,2898.3352482603464,6383.485614878156
118,0.9960669626312681,2902.1372818459054,5617.852906862858
119,0.9951973272863116,3293.29204712014,3984.545307331698
120,0.9959905208066169,3022.6639446110066,4583.6597575242295
121,0.9959729938351534,2849.322603173037,7417.58384912439
122,0.9960683969281603,2588.3743487437587,8336.554305978749
123,0.9959879171745215,2896.7325174873968,5141.795051001247
124,0.9954022103629941,3668.8643698319256,2241.9051621611297
125,0.996026052701552,2937.3300780977047,5565.326005901577
126,0.9962289230121528,2680.6519670002,7754.977801868449
127,0.9964997343338308,2761.819525519614,5229.747542276014
128,0.9955024683357665,3346.022780852747,4899.537424585446
129,0.995447715188983,3074.259062034055,4436.587348794814
130,0.9956740843069581,3017.4907535085354,4953.058647355089
131,0.9949734911730039,3382.1090291151404,3246.4418107204424
132,0.9957970343464774,3167.5180513508326,4216.903426162282
133,0.9957570683997248,3099.8466570835894,4437.459149289689
134,0.9958113451997386,2308.632388247965,73434.24893656855
135,0.9956757137774066,2882.3429562077135,6265.971677125565
136,0.9958082831657024,2810.4063038842637,6266.722239599617
137,0.9958293230092707,2758.596925832435,7701.432631281911
138,0.9953656119506845,3398.9341130372954,3552.164680886384
139,0.9962206176597465,2747.3430658066427,6440.824827183748
140,0.9949730499771751,3455.3673695953958,4225.930251391097
141,0.9963767586591914,2312.974753982563,13665.022415208168
