random_state,Unnamed: 0,R^2,MSE train,MSE test
0,0,0.9960221331343192,2769.926266042716,5601.987580274045
1,1,0.9950724252261224,3294.5011507826825,4527.341277476276
2,2,0.995329156912662,3260.694419288116,3478.071380818697
3,3,0.995441132245438,3377.506674051472,3109.400641962291
4,4,0.994611331780748,3526.1012308792583,5141.723796925004
5,5,0.995933381044809,2808.173482966128,5379.139909761051
6,6,0.995753465178315,2792.585551446629,5573.90662502343
7,7,0.9958684077986776,3068.0827116367186,4151.244770180802
8,8,0.99567077174191,3000.33414345498,4737.181888459343
9,9,0.995524951658846,3183.983680528785,4549.014032981395
10,10,0.9961598771131972,2569.981172382985,6568.297211638268
11,11,0.9957182656235456,3335.552585484436,4164.284803813317
12,12,0.9949064663862756,3074.86999035393,7909.20491763248
13,13,0.996150761149734,2447.6651982885605,7725.869871216722
14,14,0.9955949493690696,3217.3613639050022,4517.046761948102
15,15,0.9959392539724424,2774.9041237433034,7855.5718137812355
16,16,0.996166509298943,2586.002353172797,7280.45350686161
17,17,0.9956727417476386,3131.8515977830207,4471.8289876383415
18,18,0.9959038830989004,2976.5981844439293,4508.384936601875
19,19,0.9955264486919884,3519.199421859244,2778.1641638295955
20,20,0.9962439970408288,2905.8743269613906,4836.655798414973
21,21,0.9956225098679912,3221.5686138094475,4308.950829797895
22,22,0.9962620671176284,2552.751045458424,6502.8664021029535
23,23,0.994758193713766,3589.528466104213,3053.1398430225963
24,24,0.995939358915436,2907.9940868452104,5344.492566823605
25,25,0.9953849274916476,3091.284375181037,5153.217921960305
26,26,0.9963171560734886,2756.232906830858,6528.212979895389
27,27,0.9957723573345352,3040.1678075533787,5258.709246593406
28,28,0.9954091205535128,2789.11221230622,8428.910410094992
30,30,0.9955877522769836,3300.63714823608,3466.820961981806
31,31,0.996157680615643,2992.379221174049,5102.825744138911
32,32,0.995820375080812,2765.1214144615765,7456.357377976292
33,33,0.9957605302026896,2959.3589343519984,4730.618444886158
34,34,0.99579002238845,3217.6845218887424,4158.551640983165
35,35,0.9956447603903328,3179.8872592893517,4080.458105698012
36,36,0.9965255510570116,2571.8789298513666,7579.904161624573
37,37,0.9952757499964928,2920.3594667932825,8819.880405085734
38,38,0.995261049945856,3016.221849340682,6081.262688279418
39,39,0.9963921552288252,2859.119486714234,5444.329053728176
40,40,0.9961501106874454,2766.356597305984,4999.374691237553
41,41,0.9956580576631654,2849.1745722993264,5277.099062099073
42,42,0.995690490768674,2984.583169911128,4944.968164372522
43,43,0.9950747605705252,3456.542813082595,3336.675458504657
44,44,0.9954192897955892,2858.896140403569,5412.947003797374
45,45,0.9959511819572244,2887.094932740095,4895.4047896595
46,46,0.995478882510457,3135.9492429074,5731.698612959103
47,47,0.9952036543474584,3437.6116097865565,2925.760972126376
48,48,0.9956492356952488,3214.4773466950664,3808.8123736977495
49,49,0.9959109355705004,2822.077518840212,7241.770645516848
51,51,0.995664402819543,3112.4285345760877,4121.714788711692
52,52,0.9959327984189676,2750.3991928443065,9006.221249154532
53,53,0.99578522611513,2807.7705207399795,5406.831364200774
54,54,0.9953904497255764,3476.3695862435084,2699.7155823122603
55,55,0.9958406874124908,2786.324970831085,8979.069793900895
56,56,0.995517495598594,3112.708521500091,4205.946247409107
57,57,0.9955257818404328,2918.711947686608,7367.560404611769
58,58,0.9955742100900508,2879.623864007997,5969.839969357757
59,59,0.9956415984829544,2652.389121666933,9332.935392203815
60,60,0.9948180170029636,3355.166206286611,5869.696000666648
61,61,0.9958202505448718,2768.8678649925014,7090.531046546495
62,62,0.9955185727683412,3493.2384496449454,2766.839952275923
63,63,0.9956838081255672,3019.443922141389,7293.422278816933
64,64,0.9957499455750912,3158.334080620989,4127.113123751059
65,65,0.9958509031981044,2939.2125897181827,6211.81985008669
66,66,0.9952586224891294,3178.830320023233,3918.950320795792
67,67,0.9961597909289728,2551.127802853749,8581.865637702662
68,68,0.9959262232249748,2668.8548810459592,9631.19806648553
69,69,0.9960305554558516,2999.8820381961373,4319.635470942372
70,70,0.995889195505396,3035.212534904864,5094.107568237192
71,71,0.9956510659956964,2788.3422451888678,5638.023340573197
73,73,0.9957838232764544,2977.613595836141,5077.727994422233
74,74,0.9956555876987184,2694.734088882523,7569.443028493137
75,75,0.9956468960627496,3059.200410800396,5671.623902649114
76,76,0.995544292589329,3274.646947297343,3585.0833773155914
77,77,0.9954933746222688,3020.0218932618336,5690.972819112102
78,78,0.995217916548435,3001.6431696791587,5326.738330057344
80,80,0.9952500088626112,3401.738524017639,3142.29761894308
81,81,0.9955516986722868,3077.7286820199324,5383.526482438268
82,82,0.9955538578677444,3095.0555814234463,5315.376850472679
83,83,0.9961877061343636,2652.5852625031,6039.2915633251805
84,84,0.9955387017672188,3444.6716301926376,2804.3102281924043
85,85,0.9952032608613364,3107.3635982029564,5819.716779933791
86,86,0.9955991349063636,3019.4146714074395,4992.19919301777
87,87,0.9947054040486516,3301.7407843436804,3535.1487206709603
88,88,0.9956732770034928,3101.6618284697884,4361.867577577559
89,89,0.9952882115072106,3276.4532783431923,4450.654910684648
90,90,0.995462350502581,3193.3221655235016,4202.710006441517
92,92,0.9956158485914228,2705.4918420770487,7577.716003231027
93,93,0.995599155644469,3102.1919561869963,4413.427063287498
94,94,0.9956429867575955,3001.396168373415,6101.454960592928
95,95,0.9963041776904384,2683.4494421961663,8168.255916068622
96,96,0.9957375237389502,2816.537797731264,7049.066820452505
97,97,0.9951175271400032,3064.180403091022,6918.300323029487
98,98,0.9956515928606492,3059.548510782889,4426.216485946839
99,99,0.9951248810514344,3514.373220542697,2765.224951999701
100,100,0.9951797892176394,3288.230089243436,3873.83547157896
101,101,0.9960726554861612,2878.877124045505,6553.051976753802
102,102,0.9955636202702726,3297.2084489494887,3713.564209269589
103,103,0.9954801814337468,2772.931993720833,6835.664278175421
104,104,0.995433908220408,3365.258923966749,4167.971779684342
105,105,0.9950996938008154,2926.7020869915013,4713.850204361759
106,106,0.9960440884675362,2856.964751253276,5347.505475196402
107,107,0.9951028194894106,3307.0067499091524,3581.468660947226
108,108,0.9953515783034574,2917.689910450163,7302.797220420577
109,109,0.9966124441071884,2417.9478201885186,9472.29872659776
110,110,0.9950529589317968,3215.871380132985,3834.98682130386
111,111,0.995876488575374,2802.060364448708,6926.520419676909
112,112,0.9957269456411418,3175.3214707069365,5617.755625714713
113,113,0.995350931960254,2983.1402154052657,6374.42346450269
114,114,0.995663240921672,3265.7299224729377,3682.706534861967
115,115,0.995150694295502,2901.118699001485,5347.68730369251
116,116,0.9958145873684334,2908.421680427739,6017.333463204363
117,117,0.9958908318723696,2898.3352482603464,6383.485614878156
118,118,0.996066962631268,2902.1372818459054,5617.852906862858
119,119,0.9951973272863116,3293.29204712014,3984.545307331698
120,120,0.9959905208066168,3022.663944611006,4583.6597575242295
121,121,0.9959729938351534,2849.322603173037,7417.58384912439
122,122,0.9960683969281604,2588.3743487437587,8336.554305978749
123,123,0.9959879171745216,2896.7325174873968,5141.795051001247
124,124,0.995402210362994,3668.8643698319256,2241.9051621611297
125,125,0.996026052701552,2937.3300780977047,5565.326005901577
126,126,0.9962289230121528,2680.6519670002,7754.977801868449
127,127,0.9964997343338308,2761.819525519614,5229.747542276014
128,128,0.9955024683357664,3346.022780852747,4899.537424585446
129,129,0.995447715188983,3074.259062034055,4436.587348794814
