,Unnamed: 0,MSE
0,0,13784.256021179228
2,2,15787.038723964026
3,3,10290.518740950614
4,4,13896.817178121964
6,6,9242.089766402956
7,7,11858.908939244113
8,8,12752.54632349582
9,9,13776.037066440398
10,10,13333.109138653384
12,12,16389.503951752427
13,13,17438.499119567285
14,14,13337.388968740286
15,15,7912.070814587196
16,16,9423.751059410744
17,17,14081.548216544044
18,18,13000.00353700816
19,19,9315.675885013876
