,MSE
0,17233.778865271786
1,7577.730155535271
2,13687.982511065537
3,10114.644797354695
4,10543.534554492648
5,14018.430306891383
6,7581.166888106465
7,18695.374322024963
8,12847.368055781208
9,19775.555234017294
11,17591.08832553015
13,17894.723292814804
14,12605.457803670251
15,10623.913027388107
16,14196.58533179647
17,17761.443803056096
18,11512.203780548576
