random_state,R^2,MSE train,MSE test
109,0.995714489057076,3038.652533993663,6513.985336363775
110,0.9950649984600003,3286.073433450147,3824.0446170815735
111,0.9956881429994481,3354.8235290422276,5749.503015572975
112,0.9953996503028635,3244.020375905471,3927.864774724863
113,0.996333273223925,2767.2022382670625,6212.491403602109
114,0.9955572843915343,3357.8477708507594,3419.1365854375454
115,0.996058483512026,2659.697257194658,8968.151520763242
116,0.9955927793155354,2909.079165277167,5891.988534417524
117,0.9948029664313938,2921.979797333555,9948.637189327332
118,0.9960498948940876,2899.895122290526,5697.932434854753
119,0.9949724896334933,3459.7627331116837,3405.765198692739
120,0.9960080774748448,3010.221083314525,4705.892144955441
121,0.9954307249744095,3008.745914683965,5727.824488265701
122,0.9956818565157897,3068.0743681627364,6287.9465074036325
123,0.9966657761915424,2436.4291239560043,6124.569975191315
124,0.9958003572090471,3332.9486246090073,3375.3030964422924
125,0.995912318868865,3118.034737236767,4471.204274889374
127,0.9961202113482733,3036.492231195878,4856.101427332322
128,0.995663784598524,3268.7650868502515,4063.938430330806
129,0.9953382338349834,3182.3661929131563,4664.907827435875
130,0.9952735811368563,3288.0784947779985,3825.5912104614454
131,0.9953727408507794,3028.098483762544,5216.214516972261
132,0.996698725856736,2355.991564584784,10409.991489495773
133,0.9958813821709364,3058.8545630385765,4694.10972128182
134,0.9957877977520463,2646.878491107617,9670.940597641977
136,0.9951025818291487,3304.367233744011,3756.66897689748
137,0.9957433200371878,3011.0701112619877,5288.406451160979
138,0.995270106252018,3429.2627392320464,3178.7378495138546
139,0.9963001942427463,2691.2605325379795,5741.014378444971
140,0.9951994401476966,3025.058377483257,5875.275872829602
141,0.9951763096507383,3093.0582549974893,4231.88779940977
142,0.9953271300091352,3725.8598068654646,2140.8490019538626
143,0.9958430951240989,3012.0917078390926,4743.208623220061
145,0.9958934728575327,3033.349568058311,6589.020326285356
146,0.9955760689672343,3019.715137846288,5377.4092244080875
147,0.9953640995277809,3220.6094323621473,4982.347998116185
148,0.9960309601167547,2661.803532385523,5789.643045670198
149,0.9954779043916462,2827.9311298123785,6030.071645257059
150,0.9956531856558668,3065.4794395786466,5281.188629320918
151,0.9957740158009359,2850.558210173567,5927.9930292892595
152,0.9953855983547192,3251.7068557925368,3588.667339586417
153,0.9954751166079522,3243.7312124687824,4141.9073512733485
154,0.9951699999623843,3155.651585021086,4113.595480763592
155,0.9962375588017752,2823.5958239791776,7722.678576867868
156,0.9955606674710584,3002.8824646077655,5397.574189068199
157,0.9955834636996794,2964.937059646301,5593.073292181493
158,0.9956366394829224,2821.198912630273,7041.934081348344
159,0.9956807180623994,2939.7198268557077,5439.251319906636
160,0.9949809828737143,3134.1396882463937,6583.860842461886
162,0.9955469910924016,3221.5771556173963,4365.287910093656
163,0.994743116669753,3303.184651523041,5377.937306935786
164,0.9962356682726051,2446.576928967457,9733.744287268193
165,0.9956423297884117,3402.63065647585,3294.5705144306785
166,0.9961884097499406,2646.7310641308245,6585.697803859618
167,0.9954622895141307,3115.18737374572,7040.559835738245
168,0.996244379961692,2687.4516127021307,7346.128032383454
170,0.9956772994251487,3163.8383890205064,4668.964227999086
171,0.9953657364056037,3226.2310116812314,3887.6133321782618
172,0.9956479125289167,3107.6617241722656,4476.468054574162
173,0.9954731310272121,3386.663659174304,4013.169754125223
175,0.9960760394874238,2813.282255279012,5716.156752083058
176,0.9954695487740076,2938.113641577734,5007.329021012141
177,0.9952867560147872,3600.363518468737,2486.452276097147
178,0.9956073816855343,2911.52866835167,7377.301557749849
179,0.996139169852647,2721.5764357182065,6579.391289703602
180,0.9956773386880753,3097.8151338898174,4135.849044146884
181,0.9956544250677247,3141.443383287734,4728.5926142509725
183,0.9955386969082334,2969.536447985748,8206.938668134922
184,0.9961780896862726,2884.162678023441,5958.9247601835605
185,0.995875185290223,2586.7989006651023,8012.898371323755
186,0.995366266567914,3558.38320332034,2710.9606015412937
187,0.9948556005101923,2894.8302957586006,5970.103990805005
188,0.9957679237222056,3167.9647938267663,3869.5192177025124
189,0.9958280977144319,3074.723522004981,4327.1903563933665
190,0.9956877247961697,3326.4630377452595,3775.304106703699
192,0.9959155054981922,3086.4034161862583,4311.883693274526
193,0.9950566185480479,2702.3125021590386,6806.367459505723
195,0.9956309316071567,3118.401193611188,5984.379364448221
196,0.9959468139333163,2663.0971387331747,6759.205060773719
197,0.9952587623028074,3224.16642965628,3827.6314992985735
199,0.9953352858736084,3103.928531248679,4036.583880096565
200,0.9956848655150098,2997.293800705863,5093.520245199504
201,0.9953371998557837,3248.667368424104,5788.9361833489265
202,0.9953974388284401,2997.23762234197,4908.532596062363
203,0.9959360517656917,3220.5299202814344,4261.391908170211
204,0.9954473967903488,3246.971952325445,7964.7797771623145
205,0.9955386918454822,3050.171875419757,4910.698596944336
206,0.995282869492603,3325.4924767885536,3313.8023534702984
207,0.9954915683839665,3195.42376582385,4394.263100644994
208,0.9962025544614641,2784.879118934613,6123.2002665692335
209,0.9955703515072155,3136.939242136736,4171.29743622595
210,0.9954778137357277,3390.916616161892,3416.1945385791078
211,0.9952753052701405,3374.3089958387295,4283.630386639883
212,0.9952108581087433,3612.5077331029597,2573.2365072980538
213,0.9960463999971286,2877.477621468374,4720.866152292987
214,0.9956463777037766,2750.509427665813,7495.95273121216
215,0.9956948730936003,3441.965293539592,3765.697138909761
216,0.9962343350383525,2796.8866791868345,5320.0988307620855
217,0.9957554427285309,2860.517179559671,5496.226767881576
218,0.9950257292727993,3004.2747068339604,6244.259568792795
219,0.995662134477158,3162.6300171013286,4623.5919219623565
220,0.995454329951652,2820.9290234781515,9645.242748170123
221,0.9959553338892665,2923.598293082699,5773.356463598981
222,0.9956641044001996,2886.7501119131216,7344.027604102063
223,0.9961232680005578,2877.1814346087676,5090.421450658623
224,0.9951084007940589,3413.2489333999188,3074.5232747476216
225,0.9946392391750134,3074.2860545640942,5784.248616315235
226,0.9963072225902211,2804.9307909878376,5869.155859840699
227,0.9953515975457059,3353.1968287083014,3546.200468708726
228,0.9948481682460826,3098.7946539072973,6971.682497431647
229,0.9961030127072248,2376.7218437193733,8042.799939277854
230,0.9953660760304356,3220.352845052019,6103.3237835789605
231,0.9959736032313211,2823.71866608853,8083.096203006796
232,0.9951059326456715,3426.265836775493,4847.55780499326
233,0.9953175482275122,3309.259089722988,4228.029062657844
234,0.9956481233842782,2998.4684575215897,6392.528656661369
235,0.995756465126527,3309.9574193583235,3410.624095417
236,0.9957670855083443,2778.6366825705672,5885.262816568324
237,0.9960151283214409,2595.6515337037536,9580.207756225258
238,0.9951881262440746,3208.8922553468706,3968.760710318713
239,0.9955742315386212,3200.071749223758,4267.453676246526
240,0.9953612345170968,2990.761098986402,5987.492215486261
241,0.995908054791083,2625.6465830719067,7008.113122952952
242,0.9957195438743639,2811.747769206884,5346.2758396006775
243,0.9964174929798495,2653.2386298223105,5701.852628567514
244,0.9962269873302784,2894.952151989673,5559.007092007188
245,0.9961491672646475,2895.4974445650555,5031.812658026793
246,0.9954465482370465,3169.175003065789,4186.03193599081
247,0.9959119024758856,2857.153343548941,4962.663981113098
248,0.9961888207291036,2969.2475436367235,4866.1655813423085
249,0.9958104244111401,2773.2352459449417,9308.030062640853
250,0.9955593798916569,2934.6770702538943,6169.958292343966
251,0.99575056600156,2900.978946185751,5156.987013238668
252,0.9960417194710292,2726.719789802579,7401.796167405734
253,0.9951520114343012,3365.970249217285,4844.090224433884
254,0.9959348228193847,3082.9244906390263,4869.9830471460045
255,0.9954536752435564,3371.691374277186,3298.030007966146
256,0.9961082600981281,2637.0612021719066,6261.308894995378
258,0.995855513822709,3082.8568665434727,4509.790676889472
259,0.9954598190963648,3216.591955134253,4118.477886965641
260,0.9962501002855876,2984.632959727766,4848.293388959353
261,0.9953878202791822,3115.754813513645,5097.189480806373
262,0.9954807226678473,3131.8352909694395,6314.41807543462
264,0.9963299539177113,2695.3523512076777,5775.5893241650165
265,0.996062196589723,2617.2855635859446,7997.388502084174
266,0.9961086096089691,2800.899690573021,5710.890527459409
267,0.9954748333663751,3011.167545362246,5660.975895690208
268,0.9952890346936925,3133.296206718359,5187.246639215163
269,0.9961883320245808,2704.0155296690064,5956.3618905634585
270,0.9957174109052381,2799.0720048018793,7332.947130044003
271,0.9957605636945364,3067.4049820772084,4710.483061159886
272,0.9957197018861689,2680.874342133046,8875.158446497977
273,0.9955136700643098,2903.6519704204634,9092.114926541117
274,0.995408157787192,3019.955024945626,5214.63315897843
275,0.9951356990875448,3376.0402187896275,3198.305726106952
276,0.9953534053514906,3001.890294353271,5317.958772730527
277,0.9957878250570381,2994.8549672704835,4599.789148228431
278,0.9957435740492805,3208.545008905724,4888.84927911921
279,0.9954298274652312,2929.765138099895,4921.652094436892
280,0.9951632668818148,3584.056357347078,2732.044410795513
281,0.9956289100068573,2783.679538322457,6296.820659305073
282,0.9953113862752764,3491.8218932369746,4170.136326397169
283,0.9961412038546809,2689.3326603064006,6556.10208784158
284,0.9952467588887866,3290.2681165529198,4992.62343167088
285,0.9960575544840098,2946.9574990304855,5049.854738679436
286,0.9958973362663833,2835.003958590774,5829.072824136947
288,0.9953431687739355,3250.2965389107817,3777.71506507982
289,0.9955944590826833,3102.651590856697,5615.017372252372
290,0.9951579557570848,3646.5070483526765,2452.7660972149083
291,0.9956185458093513,3155.1885752108274,4782.632470944637
292,0.9953650290346432,3419.7717507199827,3211.1306142401468
294,0.995843811277063,3200.606138391216,4401.14828430159
295,0.995418897054786,3137.6898417827806,4566.062371044664
296,0.9954719010404571,3125.9355319734173,4403.900142469938
297,0.9950638784531284,3489.2282875182727,5032.44385193964
298,0.9951538515648943,3158.05294724643,4856.95772331113
299,0.995240725011494,3451.776916789417,3231.934701937377
300,0.9964587282682871,2616.231047339671,7557.141096488274
301,0.9954685781469728,3255.8834518280137,3698.582717964773
302,0.9960459622603136,2812.9309624331895,6338.688889173288
303,0.9956961993204191,3211.721559889484,3932.673649996129
304,0.9952304187058446,3132.6146832414865,6654.7773289085535
305,0.9956829725512599,3286.055891662331,3748.279786219412
306,0.9953356053338109,3228.414049957549,4019.8319101546635
307,0.9960418290762996,2982.965600675823,5769.764544022715
308,0.9957261369888082,3156.4311975775554,4371.490104566114
309,0.9951908502532463,3318.5219946739257,3509.0305428028764
310,0.9956473428083832,3387.41997263412,3295.667923205257
311,0.9961887080711624,3029.9192315369296,4452.046119756053
312,0.9955941792114468,3234.147928394934,3590.423507176301
313,0.9957079302334952,2781.5251325951067,6514.452550580238
314,0.9958601853561471,2719.753569351721,7208.814397742871
315,0.9953738829913606,3188.5459929010603,4649.286935136164
316,0.9954349244626942,3014.801555197922,4650.7693876466465
317,0.996179363182208,3011.4100944070196,5374.756598693123
318,0.9955372048082074,3422.3943295648787,3179.805485604629
319,0.9954768430095507,3112.3134100216716,5343.373311031088
320,0.9950367988891095,3327.6406691260063,3257.0357991856213
321,0.9960430215891155,2986.973585479123,4940.462243349736
323,0.9954998691197667,3066.5254466822494,5952.129626168707
324,0.9955264480311123,3217.6218935553397,3670.393813462789
325,0.9960122126595756,2960.526730765623,4533.854584848023
326,0.995357101635059,3039.540863802291,5272.649359681536
328,0.9950746171853451,3387.4669384305143,4089.9736485441754
329,0.9954226707089088,3499.6941986213546,2851.0767650755324
330,0.9959403567953777,2718.6103476719186,6293.393807141811
331,0.9957938425867611,3037.036972076252,5573.523118541971
332,0.9959461296619204,2746.874232612298,8331.219756285487
333,0.9951634597499576,3303.1075505827594,5235.566794491727
334,0.996161090894277,2851.4397819267197,5557.066193448722
335,0.9955060256224256,2746.5279171314587,7147.712888717451
336,0.9959838110957694,2801.1286767363727,5508.733864947558
337,0.9957776978189978,3181.171579997123,4992.1508789220425
338,0.9960438929346276,2823.5320288131425,5776.6062671578375
339,0.9960310009739896,2708.6335937044196,7585.010804035586
340,0.9958111353115529,2699.9243579171866,8865.86813718639
341,0.9951778201727649,3450.5851559805405,3112.1916615432897
342,0.9956729723965809,2956.468125764587,6304.216353642005
343,0.9957725507627454,3055.231701587925,4992.14925792578
344,0.9953009947813255,3493.82605093293,2926.045978472687
345,0.9950846145533954,3557.468255488851,3391.7328167228243
347,0.9951270435673649,3486.1981467160335,2926.802252125134
348,0.995568041911647,3341.1624371001594,4480.404926305965
351,0.9965068549978422,2317.738661276396,8195.025434580577
352,0.995327391973267,3041.9489195831975,8542.274906501234
353,0.9946676967394696,3451.533800920158,7469.204931134807
354,0.9949753579098931,3210.2364904143064,6229.732892951895
355,0.9953503476033787,2950.3240785110534,7222.419401905951
356,0.9959051028294007,2943.260682192759,8836.241856934124
357,0.9953393471900787,3521.7773320651613,2843.655805495507
358,0.9963928872928534,2575.9814686257355,6462.40918802292
359,0.9959698325648672,2968.800739407822,5305.638775843821
360,0.9960338715910243,2932.593934662617,5647.705376046714
361,0.9962476543123933,2678.2006613576978,6721.3759971036825
362,0.9958663671958,3074.5876190397835,4535.205935144532
363,0.9964142561056551,2628.208310090871,6360.87321524896
365,0.9955266132175771,3227.2728836194456,4056.1780818381467
366,0.9957159863428269,2995.4189299178006,4870.236921286842
367,0.9950491054760772,3006.198653060467,5998.240854016314
368,0.9950120551744088,3145.0959434522365,5695.528292848035
369,0.9952505618312458,3566.152399455011,2569.1631719713573
370,0.9956054353251782,3132.6599406605615,4493.222826212979
371,0.9954980811114138,3177.363693148737,8074.933413474741
372,0.9958948659106388,2817.7658503943276,9281.113609375994
374,0.9948045028828166,3153.9779523436305,6918.758423490118
375,0.995997794620439,2982.7270261528715,4978.215447289675
377,0.9955953478340356,2968.1474280531793,5375.639059146847
378,0.9960449450639786,3148.99684771111,4794.2035653816665
379,0.9954622154901996,2879.217705213627,7837.474544907166
381,0.9958414991435235,3168.7746129787893,4237.432472453741
382,0.9958787659094485,2912.445916311768,4847.449701715686
383,0.994751534852548,3374.6273576208405,4288.320341024014
384,0.9956360042978915,3231.373330374947,3900.2829647121744
385,0.9952499287465213,2979.508288594277,6706.389617830264
386,0.9957898276583099,3232.532502038758,3598.211363502693
387,0.9961752456820672,2828.6506343959604,4873.87989651032
388,0.9963651733339713,2631.0005972674912,6321.1297577977075
389,0.995565883314006,2905.236938056857,8221.08833084206
390,0.9951748860451989,3372.419960978653,6849.724758646511
391,0.9961262097934882,2953.118139197082,4982.79363429478
392,0.9954085110385623,3036.3938859235673,5577.810694806292
393,0.9962420194863041,2580.9521724311326,6635.96340037811
394,0.9959958834715765,3152.9449422854846,4084.217299825617
395,0.994669204753002,3481.9814923607064,3161.671068330689
396,0.995645469399277,2967.4864013166484,5014.885992064412
397,0.9959418781288362,2806.3425430152893,6001.80926988282
398,0.9957980106569932,3003.1820169076213,5420.4181538024595
399,0.9962238368652812,2778.2420539030077,5743.734610219857
400,0.9950844501285477,3215.230375871392,4004.6040876762636
401,0.9958228992074489,2974.7391823079056,5733.083512039352
402,0.9961705939628667,2885.7653736011684,7331.309845159616
403,0.9953016256333357,3338.8095074980642,5569.445781485108
404,0.9963368966492292,2709.9518393108438,6640.416692334159
405,0.9958480069008194,2801.1669701730616,6724.073484166714
407,0.9956340880273951,2978.942294459624,4799.363208525016
408,0.9953879983156079,3207.5310059096796,3777.521215444354
409,0.9956519132254561,3113.110057687257,4649.004866136988
410,0.9953501836891432,3322.936278185775,4332.382430952437
411,0.9957962158147498,3063.357928292967,4557.1268265077315
412,0.9955392715924468,2883.837211244608,9231.448272125777
413,0.9959908884886464,3007.112315577957,5519.945196418624
414,0.9958227511002558,2998.1013580417434,4451.317886106606
415,0.9957206617022369,2843.4419250017445,5159.002893916214
416,0.9957999658137568,3111.837626231429,4518.600459642665
417,0.995094010305438,3262.879462059128,3850.1279838523164
418,0.9952221505681248,3283.8865665533253,4606.822603995828
419,0.9950542977705996,3355.774779236602,3585.6305576674235
420,0.9951492545153255,3400.2759535083633,4459.375164408213
422,0.9948805147315596,2993.435070289593,10003.989975460578
423,0.9963136081749198,2659.9584215959367,7060.400015138782
424,0.9957359460570596,2703.5684426431817,8701.494968251794
425,0.9952679570022342,3125.1971980086255,7539.521269423633
426,0.9954348166202824,3127.5102774277284,6480.081525785446
427,0.9951252852394916,3023.918359288179,5174.104381017511
429,0.9960306990453358,2943.7898283164645,5317.283061745453
430,0.9959701700828585,2755.234151435363,6409.872135544476
432,0.9958999987447998,3143.7254236518143,5185.89541606827
433,0.9952348326706144,3436.702983985979,2862.9710665821644
434,0.9954697489034742,3287.0219037043043,3824.9659376295676
435,0.9956485833215846,3243.9301048999705,3894.554178426434
436,0.9958008681285809,3211.240692912136,3739.149098125902
437,0.9960670795627488,2787.1153070118644,6529.825136692782
438,0.995677100870358,2902.0152660272456,5691.641748467859
439,0.9958702090959684,2760.490789255982,5288.825860824974
441,0.995199537982192,3117.8852717552886,5222.984408459392
442,0.9957227911521521,2965.8707676499803,5374.837845698428
443,0.995492241611973,3306.81128253911,3783.4791385785934
444,0.9966492224043648,2506.0582514174403,6361.291902346318
445,0.9954950062647626,3135.870115167265,7366.4142591780055
446,0.9952552763691463,3130.738657616695,4357.231928458629
447,0.9959128900804847,3173.182488351131,4072.115812867674
448,0.9956039596000541,3206.686834673876,3845.787872074044
450,0.9949101825168102,3509.3978119510343,3002.9220567800785
451,0.9951717934500487,3182.7002917791942,4934.54539084437
453,0.9958183664568696,2828.112208252272,6186.724772371298
454,0.9955871964854163,3212.4042515230635,4988.384940408315
455,0.995313158192431,3145.74341536948,4948.345020140568
456,0.995710626330739,3038.169514544787,5151.630904549483
457,0.9960371658309001,2769.488182987232,6697.876906443933
458,0.9953859152307326,3530.0793873205107,2913.8071678883807
459,0.995728821558407,2761.239353872032,8447.67508852068
460,0.9959551225675283,3069.4337089995893,4713.897966840398
461,0.9957839736102037,2564.738428943251,8379.247885124007
462,0.9957420585703707,3147.47678639963,4289.72588816492
463,0.9953222030792789,3227.860378753235,5792.354503956964
464,0.9953376294316371,3230.5581404287454,4013.6475238032135
465,0.9952084527671422,3335.638123637632,3331.508276552642
466,0.9957162653846476,3159.58962307876,4627.34676787322
467,0.99633059227673,2358.4638638953716,7415.081544555019
468,0.9950077231160764,3252.357624988912,3648.5724989706487
469,0.9955860734830371,3204.4262954983215,4345.412784801557
471,0.9955013269527463,2754.2707468988165,5796.753279550107
472,0.9953934879853379,3347.812222968585,3665.2982813352537
473,0.9952483845183235,3393.8377659743264,4551.378384791246
474,0.9959993647542611,2654.5689454315766,6773.14689633721
475,0.9953370797782632,3530.724133069055,2925.340740015638
476,0.9950590068648795,3342.8492110813672,5331.863729620806
477,0.9959982196479414,3054.7808826521086,4531.382056681994
478,0.9957211667643396,3189.708221422111,5475.00364885129
479,0.9951300091208231,3382.7977495090304,3991.5668144627184
480,0.994797645750642,3058.247716228672,6134.0513106456865
481,0.9954852698018357,3465.7527160948935,3500.401567146086
483,0.9955400360518349,3187.469964670715,4533.765925727194
484,0.9962067010052388,2849.0491178496036,5741.262110310613
485,0.9950917408467596,3229.879961081836,5225.5608518132885
486,0.9954774212417097,3263.505422247611,4575.428615450743
487,0.9954911259644967,3012.3870429367494,8199.021429799668
488,0.9953745225547763,2945.6095420344986,6732.8364276695265
489,0.9960194391924923,2860.36067825749,5921.932094502966
490,0.9954653031004761,3268.988996474717,3604.246380904575
491,0.994866391252631,3390.213410985466,4659.922247041776
492,0.9956684342342067,2927.503219176862,5105.689964915089
493,0.9961706714502175,2675.2588651005094,7761.11504330348
494,0.9953301323239901,3101.658798540043,4580.403733784192
495,0.9962343320459155,2677.8508306757053,8494.300319946838
496,0.9954639238226468,3332.9035620246045,4793.6100043509205
497,0.9958740001548234,2915.0993393221092,5341.564239591571
498,0.9953348822173335,3145.3763845764756,5238.208129749255
500,0.9957492034904261,3100.407296043358,4279.12563181526
501,0.9958978702926017,3175.0838578236226,4615.07578667831
502,0.9963301683100982,2555.40394359167,8021.544380497412
503,0.9954681813154626,2865.469469359407,7184.032973262495
504,0.994912703085017,3078.2607071950542,6005.399762648433
505,0.9958804031058316,3093.6958442147006,4059.427609784631
506,0.9953693521500515,3216.33568932937,5592.834846837442
507,0.9957325147730476,3014.2376559983186,8587.474654284999
508,0.9957952839092318,3046.7960283535967,4857.750509991972
509,0.9948793031812024,3450.96612242338,3089.2001757831413
510,0.9960626352631505,2788.342113073118,6100.702807783392
512,0.9953415815328647,3276.773567176458,4741.963123475616
513,0.9956955348244511,2809.520385167413,5180.3331335552
514,0.9962628959884693,2683.9743335922126,7056.965025401325
515,0.995542604022546,3300.3295021688486,4193.128932447743
516,0.9958283023184138,2921.867066243683,5677.481395630928
517,0.9956994910454827,2998.12822546114,4753.36912875905
518,0.995696645699783,2992.641740888482,6484.870203333095
519,0.9957827046577453,3275.402336613402,3599.312601157604
520,0.9955779176948066,3238.1537060635164,6533.924377213519
521,0.9952149824661618,3210.9521123905743,4548.342085406131
522,0.9954511813351528,3061.642359031774,6832.8195746226875
523,0.9962693149087162,2752.4792487006484,6143.303722600778
525,0.9954399629581592,2829.4196156106905,5658.981695661343
526,0.9959106731856383,2652.372926882395,6322.395551045411
527,0.9959437830134389,2979.8867493141834,6701.614010492136
528,0.9955345156273734,2968.167355265899,6434.888509868758
529,0.996435741303316,2495.3489892585094,7015.558019239221
530,0.9962274589816981,2779.4732977405556,8498.529588032654
531,0.9956058495679231,3164.8025826061,4119.288816084962
532,0.9950229043672492,3227.975194036733,5345.345375117543
533,0.9957213512936506,3309.9328520324148,3297.226214899841
535,0.9958732403058462,3203.2685482570864,3943.3522544565412
536,0.9954174834176719,2875.7415727862763,7025.378905686618
