,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext,%gdp,%gnp,%real_gdp,%real_gdp_per_capita,%net_exports,%gni,%govt_spending,%consumer_spending,%private_domestic_investment,%cpi,%consumer_oil_price,%ir,%unemployment_rate,%Close,%Volume,%ClosePrev,%CloseNext,DIFF_gdp,DIFF_gnp,DIFF_real_gdp,DIFF_real_gdp_per_capita,DIFF_net_exports,DIFF_gni,DIFF_govt_spending,DIFF_consumer_spending,DIFF_private_domestic_investment,DIFF_cpi,DIFF_consumer_oil_price,DIFF_ir,DIFF_unemployment_rate,DIFF_Close,DIFF_Volume,DIFF_ClosePrev,DIFF_CloseNext,LR_gdp,LR_gnp,LR_real_gdp,LR_real_gdp_per_capita,LR_net_exports,LR_gni,LR_govt_spending,LR_consumer_spending,LR_private_domestic_investment,LR_cpi,LR_consumer_oil_price,LR_ir,LR_unemployment_rate,LR_Close,LR_Volume,LR_ClosePrev,LR_CloseNext
DIFF_Volume,0.05788524009128049,0.05676366887146097,0.06095103888940631,0.06226354652113129,-0.08930174639840326,0.05639108396227664,0.06664729735072744,0.05621142874169364,0.05955393706997376,0.06169307380136247,0.04620483528131219,-0.0023514716820097195,0.01821492010194004,0.06337881360964602,0.12753942197190446,0.10193679868225206,0.05232083737428231,-0.21692828133396555,-0.22933812526301398,-0.20351668800592496,-0.19973835021711345,-0.004881948477421808,-0.19257559755884468,0.03565204776836125,-0.23696472680989517,-0.09428409536823772,-0.13799740038669905,-0.2391867602322154,-0.30013262752027103,0.37565057769335547,-0.2634829063229286,0.423533727373791,0.002678506413210638,-0.14391256122915952,-0.255844670139138,-0.26927121639247403,-0.26574515677909283,-0.2599042592988067,0.20188145865012558,-0.23459155888745425,0.11669740821780306,-0.25093615416881665,-0.11677333347956576,-0.21844007323976777,-0.36130902279824145,-0.16503726382123501,0.33025434562656963,-0.48080634704172565,1.0,0.08278197235958575,-0.11745830877363769,-0.21692828133396488,-0.22933812526301314,-0.2035166880059269,-0.19973835021711456,-0.004881948477421804,-0.19257559755884485,0.03565204776836034,-0.23696472680989478,-0.09428409536823858,-0.13799740038669525,-0.23918676023221552,-0.300132627520271,0.37565057769335564,-0.26348290632292837,0.42353372737379114,0.002678506413210606,-0.14391256122915908
DIFF_ClosePrev,0.28155645581824595,0.2820436177675132,0.2573025127320857,0.24250418296763168,-0.22836144536650263,0.2827459803024602,0.2120258743962194,0.27970893885309955,0.3082978283806014,0.2539605590817174,0.24568806307954227,-0.09254362398559533,-0.04289805480886873,0.3565857549234222,0.15646798100737816,0.3494248081102774,0.3630461897473817,-0.10093845835493713,-0.1053043923591439,-0.08387742894922162,-0.06786555014464693,-0.03192328031757992,-0.10982367560196708,-0.06676372225121543,-0.13515237828355203,0.031952451738712875,-0.08308314445307666,0.058058496117529,-0.05456053370305033,0.08580088710214025,0.12389881984483446,0.029896089621651974,0.6317560674907478,0.05151560914361517,0.0019119780622730378,-0.008681518679370467,-0.06866967826979863,-0.0683723712583387,-0.04338061733160691,-0.005009771705763225,-0.07995889500524772,-0.026575326153809333,0.2823793251710669,0.06408452516345994,0.09829612513760251,0.011860306916364034,0.07305508744397471,0.22083779781573948,0.08278197235958575,1.0,0.22988578808087326,-0.10093845835493692,-0.10530439235913261,-0.0838774289492195,-0.06786555014464839,-0.03192328031757993,-0.1098236756019589,-0.06676372225121802,-0.1351523782835413,0.03195245173870772,-0.08308314445306614,0.058058496117529744,-0.05456053370304969,0.0858008871021401,0.12389881984483284,0.029896089621652057,0.6317560674907471,0.051515609143616865
DIFF_CloseNext,0.3278519132111117,0.3283283780817396,0.29242651238317274,0.27081063118486287,-0.2521938729570787,0.32980012372948103,0.25212359464807915,0.3282605438964555,0.3714092659542472,0.29183798088871077,0.24402855608739438,-0.1613668754617173,0.08442145110093119,0.3765725059653679,0.27746918310436025,0.3644473396217837,0.4417771380979398,0.1738630758848796,0.18159296133522,0.22094732519493052,0.24597359258694232,-0.00986963173257592,0.1483842417921072,-0.07397557497586939,0.22476344056891986,0.10285376531478199,0.029500940298472958,0.14148883514067392,0.09533102817569321,-0.06330671196698474,0.13427060764448026,-0.04790454685957045,0.06649114022118442,0.6098129260926648,0.41966954808708645,0.41984299616404414,0.3588644051539608,0.34074333465108625,-0.3050030236716515,0.3890308987187832,-0.08907663334195637,0.441795768986704,0.48520467514086435,0.3378345774539951,0.29135896455986876,0.08975616695936833,-0.1739574176944427,0.29279146877082585,-0.11745830877363769,0.22988578808087326,1.0,0.1738630758848792,0.18159296133523709,0.2209473251949331,0.24597359258694113,-0.009869631732575905,0.14838424179211962,-0.07397557497587236,0.22476344056893738,0.1028537653147759,0.0295009402984846,0.14148883514067478,0.095331028175694,-0.06330671196698494,0.1342706076444784,-0.04790454685957041,0.0664911402211835,0.6098129260926674
LR_gdp,-0.27671167527289253,-0.276316468587179,-0.25207305096742577,-0.2312983475177382,0.23987289697894992,-0.2772468369816994,-0.26541022715769896,-0.27760082878430725,-0.2736376161161724,-0.27807192972711126,-0.2678113919856597,0.26255835933430055,-0.08953593696481488,-0.24456432987297178,-0.30486878836843534,-0.26573157051468754,-0.22343435625562957,1.0,0.9961099888123537,0.8839993459775783,0.8841680436167374,0.021483516094961914,0.9748984453218787,0.17409171376420868,0.8172831866478903,0.3193885036663228,0.41217193419290515,0.2518282155608159,0.36378779522620935,-0.6712979699497015,0.22407384840650477,-0.02256343810343005,0.11246562584159465,0.14905447986820664,0.5925576320074211,0.5921311105890337,0.7422274908837933,0.8192733177897634,-0.22667706101064708,0.5822420478105045,0.06802223127317196,0.5466274167933786,0.15546980478034836,0.28688336943254816,0.26485849561987984,0.35134085704965384,-0.7162267816219104,0.18903812170023185,-0.21692828133396488,-0.10093845835493692,0.1738630758848792,1.0,0.9961099888123539,0.883999345977576,0.884168043616739,0.021483516094961814,0.9748984453218786,0.1740917137642101,0.8172831866478865,0.31938850366632626,0.4121719341928979,0.2518282155608142,0.3637877952262084,-0.6712979699497018,0.22407384840650524,-0.022563438103430453,0.11246562584159536,0.1490544798682052
LR_gnp,-0.273313039625329,-0.27285249508268616,-0.24847811429080355,-0.22783559900030334,0.23568548983594484,-0.2738925846660993,-0.26132963236098694,-0.27403940605748606,-0.27104028551618353,-0.27500034818821806,-0.26490356379003305,0.2582932355975555,-0.09048668505737577,-0.24302328213661625,-0.2984477650531978,-0.26411795293365026,-0.2213460150687365,0.9961099888123534,1.0000000000000007,0.8830074029414534,0.8830416076920682,0.015331596522966269,0.9697267866626281,0.17116576834515465,0.8185596025854874,0.313512025681364,0.41537607232235785,0.2709194099568531,0.36203917375388994,-0.6746748844937044,0.2181063013150765,-0.030062677882901536,0.11700786655052696,0.15279806936673607,0.5990637939747202,0.6040103368781236,0.7479331892996979,0.8227681267114207,-0.23325272651545628,0.5879748697650792,0.06551618540620754,0.5555719951326041,0.15396078086754791,0.29692805566181596,0.28446987243614186,0.35239964370798443,-0.7204261136003619,0.18864092045720246,-0.22933812526301314,-0.10530439235913261,0.18159296133523709,0.9961099888123539,1.0,0.8830074029414502,0.8830416076920684,0.015331596522966038,0.9697267866626283,0.17116576834515576,0.8185596025854833,0.3135120256813682,0.4153760723223511,0.2709194099568512,0.3620391737538887,-0.6746748844937042,0.21810630131507655,-0.030062677882902324,0.11700786655052738,0.15279806936673493
LR_real_gdp,-0.13731965202203145,-0.1372146494264436,-0.1350887269957766,-0.12906388942999356,0.11275131236429946,-0.13784332463262525,-0.15188134170163103,-0.1368042550873343,-0.13635654068838352,-0.14656392665312964,-0.1646561678882712,-0.032444565209134336,-0.1417597558462527,-0.11292363476183505,-0.16664442754365993,-0.1329868190716768,-0.09232169192623624,0.883999345977576,0.8830074029414451,0.9999999999999997,0.9965753482022696,-0.032351776070864764,0.8546420233557231,0.17034918740357002,0.6825196087391706,0.2485931090720668,0.007852734994413503,0.11244857036803811,0.34914660217596427,-0.7175633148168367,0.29604468950985774,-0.01828718179671045,0.17529561319350148,0.2105741366526731,0.6343453312416497,0.6345654530034613,0.8244247535564805,0.9059111572283314,-0.24889669922413313,0.622295374439611,0.10341860007319635,0.5832840709555056,0.2133668013798379,0.12088991768832569,0.21027998733022876,0.29682344903732083,-0.784622423052072,0.2216327354637005,-0.2035166880059269,-0.0838774289492195,0.2209473251949331,0.883999345977576,0.8830074029414502,1.0,0.9965753482022703,-0.0323517760708646,0.854642023355726,0.17034918740357088,0.6825196087391727,0.24859310907206889,0.007852734994407723,0.11244857036803906,0.3491466021759644,-0.7175633148168373,0.29604468950985785,-0.018287181796710787,0.1752956131935021,0.21057413665267155
LR_real_gdp_per_capita,-0.08088498762150666,-0.08076141665550254,-0.0753197367106546,-0.06830947537328488,0.06212275240297891,-0.08136959573267306,-0.09137695132772988,-0.08071115114001651,-0.0801619749954175,-0.08981472811017685,-0.1109631503022798,-0.029831870942743435,-0.11854817319982563,-0.05891495544376728,-0.11796343802613994,-0.07907688513695525,-0.03808949923810795,0.8841680436167377,0.883041607692061,0.9965753482022712,0.9999999999999992,-0.03340638398954186,0.8531264220052898,0.15527576142268945,0.6868873824994168,0.2326057861028994,0.016892327229242585,0.1164476145467842,0.345609360366731,-0.7155932283195544,0.2961471877110434,-0.01193348978570969,0.17089732678180952,0.21267137811959472,0.6583883235208972,0.6579452335209625,0.8369569493019264,0.9158367135013713,-0.2604289245882927,0.6455427057983456,0.10119932217109681,0.6069579391205906,0.25127699046136814,0.15294074597313537,0.21474245012076934,0.29347126839234744,-0.7879623081685887,0.2422089471387272,-0.19973835021711456,-0.06786555014464839,0.24597359258694113,0.884168043616739,0.8830416076920684,0.9965753482022703,1.0,-0.03340638398954217,0.8531264220052943,0.15527576142268867,0.686887382499421,0.23260578610290059,0.016892327229238082,0.11644761454678397,0.345609360366731,-0.7155932283195543,0.2961471877110438,-0.011933489785709631,0.17089732678180994,0.21267137811959352
LR_net_exports,-0.06821953878580128,-0.06807096375755375,-0.07186094809170232,-0.07377605854949368,0.064248998121123,-0.06814163089749674,-0.07238242155560352,-0.06750071610675298,-0.06275078819936261,-0.0743972394234115,-0.06295277868902614,0.024898705077274975,0.03200490499998224,-0.059288581519289035,-0.051100117833821804,-0.059555026197235524,-0.05817674442735865,0.021483516094962674,0.015331596522969402,-0.032351776070865826,-0.03340638398954323,1.0,0.0588858641903709,0.03972470774249874,0.09039234703090787,0.04505767178589274,0.06319730590621517,-0.02734090777799725,-0.05435076432374274,0.060065431539796696,-0.021052767376710784,0.006560795516711502,-0.18323187228598317,0.09932983095391106,-0.027634157140318624,-0.02767243805918958,-0.04165071995020851,-0.041182791017218064,0.036339696913924205,-0.022991096089010343,0.03289620167167943,-0.019584112797479257,-0.04041955561349423,-0.009481441214175485,-0.008483823009276656,-0.12480257808114006,0.11093011326960026,-0.01769353513549026,-0.004881948477421804,-0.03192328031757993,-0.009869631732575905,0.021483516094961814,0.015331596522966038,-0.0323517760708646,-0.03340638398954217,1.0,0.05888586419037063,0.03972470774249798,0.09039234703090414,0.04505767178589313,0.06319730590621477,-0.027340907777998014,-0.05435076432374293,0.060065431539796765,-0.021052767376710666,0.006560795516711328,-0.18323187228598323,0.09932983095391057
LR_gni,-0.27758170267886867,-0.2771629499754789,-0.25524707962734033,-0.23536657742147654,0.24677191353982844,-0.2778662841699973,-0.268593470364051,-0.278303660465156,-0.2761584829589481,-0.28080066693690264,-0.2611070614470985,0.26134639635724904,-0.10350169551755878,-0.25482993908886414,-0.2908683637214527,-0.27220889328709547,-0.23534010882290984,0.9748984453218786,0.96972678666263,0.8546420233557284,0.8531264220052923,0.058885864190370646,0.9999999999999997,0.19150296726939686,0.7681868892528048,0.29268328553471346,0.38754266308812413,0.1798298504584915,0.3259850962154715,-0.6538543207403069,0.1712338036269485,-0.025384067248263645,0.08930166971286355,0.15431000311769422,0.5679054168784986,0.5670545343710531,0.7116866040570257,0.7865521681374416,-0.06363157148607378,0.5828300445524839,0.08079684720980104,0.5139168182310655,0.13045388620941684,0.23735404862258916,0.1886161785691062,0.31677523201644825,-0.6771726889037725,0.1359097335152935,-0.19257559755884485,-0.1098236756019589,0.14838424179211962,0.9748984453218786,0.9697267866626283,0.854642023355726,0.8531264220052943,0.05888586419037063,1.0,0.19150296726939836,0.7681868892527998,0.29268328553471734,0.38754266308811636,0.17982985045848954,0.3259850962154706,-0.6538543207403068,0.17123380362694904,-0.025384067248264208,0.08930166971286464,0.15431000311769283
LR_govt_spending,-0.17866427721031275,-0.17877198528150945,-0.20784392956971168,-0.21646981879480026,0.14296630781785985,-0.17949884967719137,-0.2363205059838427,-0.17764797043328126,-0.15999434615731345,-0.19487934691665412,-0.19327214406229815,-0.0223235329378413,-0.2285209665359625,-0.13810460965246352,-0.14731968384574157,-0.13382067669721923,-0.13944571111032342,0.17409171376421564,0.17116576834516317,0.17034918740357058,0.15527576142268265,0.039724707742498,0.19150296726940647,0.9999999999999991,-0.03253285443702401,0.13050702991131358,0.08847091540395068,-0.04667120761328997,-0.03909647604769392,-0.056946027191946864,-0.00942641572123076,-0.002490528385584992,0.0003881497221191093,-0.01941945359142705,-0.09039471062705902,-0.08924636519129889,-0.013816023308008154,0.03825386263253564,0.05551908040523606,-0.085439038532895,0.8482453239048738,-0.09954859224179445,-0.12521467847344872,-0.11354404273681167,-0.07243231860529661,-0.026874728492192537,-0.030122216883387593,-0.10525220111048984,0.03565204776836034,-0.06676372225121802,-0.07397557497587236,0.1740917137642101,0.17116576834515576,0.17034918740357088,0.15527576142268867,0.03972470774249798,0.19150296726939836,1.0,-0.0325328544370329,0.13050702991131732,0.0884709154039465,-0.04667120761329004,-0.03909647604769433,-0.05694602719194724,-0.009426415721228822,-0.00249052838558526,0.0003881497221198905,-0.019419453591429478
