Date,Open,High,Low,Close,Volume
30/6/1977,96.12,101.65,95.89,100.48,269527779
31/7/1977,100.48,102.57,97.71,98.85,251377777
31/8/1977,98.85,99.84,95.04,96.77,240916668
30/9/1977,96.77,98.43,94.44,96.53,213150002
31/10/1977,96.53,97.27,90.2,92.34,229705556
30/11/1977,92.19,97.11,90.01,94.83,274822221
31/12/1977,94.83,95.67,91.76,95.1,250538891
31/1/1978,95.1,95.15,88.02,89.25,237855555
28/2/1978,89.25,91.32,86.58,87.04,204777779
31/3/1978,87.04,91.35,86.45,89.21,276433334
30/4/1978,89.2,97.91,88.07,96.83,386444443
31/5/1978,96.83,100.32,94.57,97.24,430972221
30/6/1978,97.24,101.84,93.99,95.53,370161113
31/7/1978,95.53,101.18,93.59,100.68,300827775
31/8/1978,100.68,106.27,99.95,103.29,480527780
30/9/1978,103.29,108.05,100.66,102.54,373494445
31/10/1978,102.54,106.23,91.65,93.15,379077777
30/11/1978,94.13,97.41,91.77,94.7,285894447
31/12/1978,95.01,98.58,92.64,96.11,273577778
31/1/1979,96.11,102.59,95.22,99.93,342072223
28/2/1979,99.93,100.52,95.38,96.28,264283335
31/3/1979,96.28,103.31,95.98,101.59,361000001
30/4/1979,101.56,103.95,100.14,101.76,344805557
31/5/1979,101.76,102.57,97.49,99.08,346522220
30/6/1979,99.08,103.67,98.57,102.91,408727778
31/7/1979,102.91,105.17,100.35,103.81,378188888
31/8/1979,103.81,109.84,103.14,109.32,458361112
30/9/1979,109.32,111.58,105.38,109.32,396633333
31/10/1979,109.19,112.16,99.06,101.82,476627778
30/11/1979,101.82,107.89,99.42,106.16,363138888
31/12/1979,106.16,110.33,105.07,107.94,394561112
31/1/1980,107.94,117.17,103.26,114.16,643466666
29/2/1980,114.16,120.22,111.33,113.66,531405554
31/3/1980,113.66,114.34,94.23,102.09,486916668
30/4/1980,102.09,106.79,98.95,106.29,374522221
31/5/1980,106.29,112.72,103.5,111.24,424955555
30/6/1980,111.24,117.98,109.77,114.24,460922222
31/7/1980,114.24,123.93,113.54,121.67,567649999
31/8/1980,121.67,127.78,119.42,122.38,536477777
30/9/1980,122.38,132.17,121.79,125.46,587616666
31/10/1980,125.46,135.88,124.66,127.47,573216667
30/11/1980,127.47,141.96,127.23,140.52,548949997
31/12/1980,140.52,140.66,125.32,135.76,569805556
31/1/1981,135.76,140.32,128.57,129.55,530844445
28/2/1981,129.48,132.02,124.66,131.27,453505555
31/3/1981,131.27,138.38,128.56,136,652516668
30/4/1981,136,137.72,131.58,132.81,624149999
31/5/1981,132.81,134.92,128.78,132.59,503016671
30/6/1981,132.59,135.67,128.77,131.21,611650000
31/7/1981,131.21,131.78,125.96,130.92,529983336
31/8/1981,130.92,135.18,122.29,122.79,511416667
30/9/1981,122.79,124.58,110.19,116.18,532855557
31/10/1981,116.18,123.28,115,121.89,554199999
30/11/1981,122.35,126.97,119.13,126.35,548844446
31/12/1981,126.35,127.32,121.04,122.55,533038890
31/1/1982,122.55,123.72,113.63,120.4,537966667
28/2/1982,119.81,119.81,110.03,113.11,540105554
31/3/1982,113.11,114.8,104.46,111.96,704827779
30/4/1982,111.96,119.33,111.48,116.44,631383333
31/5/1982,115.96,119.92,111.66,111.88,570255553
30/6/1982,111.97,112.48,107.01,109.61,616961112
31/7/1982,109.52,112.39,105.57,107.09,636216666
31/8/1982,107.71,120.26,102.2,119.51,929316665
30/9/1982,119.52,126.43,117.84,120.42,860022222
31/10/1982,120.4,140.4,120.15,133.72,1149200000
